ticker,cik,sector,latest_quarter_end,revenue_concept,net_income_concept,ocf_concept,eps_diluted_concept,eps_source,eps_notes,quarters_available,annuals_available,has_quarterly_revenue,has_quarterly_eps,has_quarterly_net_income,has_quarterly_ocf,rev_yoy,eps_yoy,ocf_yoy,ni_yoy,rev_qoq,eps_qoq,ocf_qoq,ttm_revenue,ttm_net_income,ttm_eps_diluted,ttm_ocf,latest_quarter_all_positive,revenue_qoq_grew_0,revenue_qoq_grew_1,revenue_qoq_grew_2,revenue_qoq_grew_3,eps_diluted_qoq_grew_0,eps_diluted_qoq_grew_1,eps_diluted_qoq_grew_2,eps_diluted_qoq_grew_3,ocf_qoq_grew_0,ocf_qoq_grew_1,ocf_qoq_grew_2,ocf_qoq_grew_3,net_income_qoq_grew_0,net_income_qoq_grew_1,net_income_qoq_grew_2,net_income_qoq_grew_3,reasons,grade_score,grade_letter,grade_provisional,foreign_grade_score,foreign_grade_letter
AAON,0000824142,,2025-06-30,RevenueFromContractWithCustomerIncludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,-0.006375053417781218,-0.6935483870967742,-1.2426668334479956,-0.7034732327487172,0.04789110005638425,-0.13440804559317884,0.551020564345672,1274439000.0,149632000.0,1.79,279345000.0,False,False,False,True,True,False,False,True,True,True,False,True,True,False,False,True,True,,31.65,F,False,,
ABT,0000001800,,2025-06-30,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.07372072853425848,0.3648648648648649,0.16046901172529315,0.3663594470046083,0.028989026918363525,0.1162177835330131,0.8780068597743945,42512000000.0,6052000000.0,3.45,13556000000.0,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,,71.62,B,False,,
ABBV,0001551152,,2025-06-30,Revenues,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.06645000691467295,-0.3246753246753247,0.07558231659008086,-0.31532846715328466,0.06332958268013902,-0.07918470418470419,0.9289902780643395,57688000000.0,5155000000.0,2.89,26492000000.0,True,True,False,False,True,False,False,True,False,True,False,True,True,False,False,True,True,,50.44,D,False,,
ANF,0001018840,,2025-08-02,Revenues,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.06577399481822344,0.16400000000000015,-0.5659947946901226,0.061688994352997684,0.04652591620762092,0.1586032445776759,-6.9867555388823925,4648811000.0,486943000.0,9.5,771768000.0,True,True,False,True,True,True,False,False,True,False,False,True,True,True,False,False,True,,55.59,C,False,,
ACAD,0001070494,,2025-06-30,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.09341510892161198,-0.20000000000000007,0.5580677364490128,-0.20135373925544342,0.06724954315055351,0.2511363636363636,1.0873952597690093,1001247000.0,111807000.0,0.67,276032000.0,True,True,False,True,True,True,False,False,True,True,False,True,True,True,False,False,True,,60.79,C,False,,
ACN,0001467373,,2025-05-31,Revenues,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.0765808083985573,0.14802631578947367,0.3167509521742735,0.13731515079058254,0.030597993496635223,0.08997964039244591,1.0319928037368602,68543545000.0,8196653000.0,12.940000000000001,18200220000.0,True,True,False,True,True,True,False,True,True,True,True,False,True,True,False,True,True,,67.72,C,False,,
ADMA,0001368514,,2025-06-30,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.13800598930880392,0.0769230769230771,-0.9662890301188174,0.06727590293805741,0.11193163198888478,0.19622668997669002,-5.591327862202308,463816000.0,129094000.0,0.53,93673000.0,True,True,False,True,True,True,False,True,True,False,False,True,False,True,False,True,True,,65.73,C,False,,
ADBE,0000796343,,2025-05-30,Revenues,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.10623469579958567,0.1289398280802292,0.5006422607578678,0.0750158931977114,0.031891180785295514,0.42407375461991126,0.6668950217780647,22304000000.0,6759000000.0,15.33,15404000000.0,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,,79.65,B,False,,
AMD,0000002488,,2025-06-28,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.31705227077977716,2.375,1.6481149012567324,2.290566037735849,0.08969101013138459,0.8466643064382424,0.8456514255169899,27777000000.0,2617000000.0,1.6099999999999999,6745000000.0,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,,82.32,B,False,,
A,0001090872,,2025-07-31,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.10139416983523453,0.21649484536082464,-0.2015748031496063,0.1914893617021276,0.025671017815788816,0.07928710743143733,0.23997826517800563,6665000000.0,1151000000.0,4.01,3367000000.0,True,True,False,True,True,True,False,True,False,True,True,False,True,True,False,True,False,,65.23,C,False,,
