ticker,type,sector,mom_12_1_spdji,mom_21d_spdji,mom_12_1_spdji_vs_spy,mom_21d_spdji_vs_spy,ulcer_12_1,ulcer_63d,max_dd_12_1,max_dd_63d,sma20_slope_3d,sma100_slope_3d,sma200_slope_3d,trend_consistency,trend_bucket,ret_12_1_vs_spy,bull_stack_days_12_1_20_50_100,sharpe_12_1,sortino_12_1,rsi14,rsi14_trend_1w,vol_trend_20d,beta_252d_vs_spy,ticker_vs_sector_z_12_1,ticker_vs_sector,sector_vs_market_z_12_1,sector_vs_market,sector_dispersion_12_1_pct,sector_corr_21d_z,market_dispersion_12_1_pct,market_corr_21d_z,sector_alignment_score
AAON,Stock,industrials,-1.8529656230474356,3.532199585907027,-15.459596721605688,-5.484210662196186,29.270997970013894,5.151492765620277,-48.85611938140924,-13.676641660265954,Up,Down,Down,56.63961960022124,Acceptable,-1.7864205538972755,96.0,-0.20544006011964944,-0.26788545474985465,62.76024884042544,Up,Rising,1.5105358101293567,-0.9388150640693458,In Line,0.6697844182888637,Sector Outperform,0.373015873015873,0.048386650395389336,0.2698412698412698,-0.42459614383165534,-0.9388150640693458
ABT,Stock,health_care,14.990870564240595,3.0206191667181916,1.3842394656823416,-5.995791081385022,5.004327300841601,5.106953865688352,-13.270814472582016,-12.332750531065662,Up,Up,Up,44.22372127355411,Acceptable,-0.33882949687242725,173.0,0.6547736842733884,0.9031853018788251,61.86590110240862,Up,Rising,0.2609259485372761,1.1947700459249873,Best in Breed,-1.2526612566607174,Sector Underperform,0.6984126984126984,0.2312101461213987,0.2698412698412698,-0.42459614383165534,1.1947700459249873
ABBV,Stock,health_care,5.8196686676971146,5.281502840620113,-7.786962430861139,-3.7349074074831004,10.364233239222276,1.2899315653676866,-20.736389773350428,-4.386378374009714,Up,Up,Up,75.67860172579624,Clean,-0.600023520278216,85.0,0.19517019516037526,0.24814054270200409,72.90853337499617,Up,Rising,0.44006745708922923,0.47319335303329935,In Line,-1.2526612566607174,Sector Underperform,0.6984126984126984,0.2312101461213987,0.2698412698412698,-0.42459614383165534,0.47319335303329935
ANF,Stock,consumer_discretionary,-11.099990639192152,-0.7595037551951253,-24.706621737750403,-9.775914003298338,38.80198281711257,6.795565916311822,-60.82631055206669,-17.385836991668345,Down,Up,Down,64.46926718807742,Acceptable,-2.2733188703524942,41.0,-0.9432411827934024,-1.2299995255498064,46.645255095163044,Up,Rising,1.3130108992196206,-1.4752315280233754,Underperforming,0.8809005445532264,Sector Outperform,0.35714285714285715,-0.29515459244002623,0.2698412698412698,-0.42459614383165534,-1.4752315280233754
ACAD,Stock,health_care,20.280507648882573,-0.6542273967631047,6.673876550324319,-9.670637644866318,11.384894393657232,4.251905718641906,-30.50764048670196,-11.140380573844189,Down,Up,Up,51.71361878868828,Acceptable,0.025374010472027253,107.0,0.9427423523273066,1.7340110794430283,48.358936557019135,Down,Rising,0.8803827380227313,1.610950921364195,Best in Breed,-1.2526612566607174,Sector Underperform,0.6984126984126984,0.2312101461213987,0.2698412698412698,-0.42459614383165534,1.610950921364195
ACN,Stock,technology,-11.537732871145106,-4.265559013895762,-25.14436396970336,-13.281969261998976,17.764272099780623,14.055017950760938,-39.67479828326977,-21.912734918460497,Down,Down,Down,37.79090586717401,Choppy,-2.6009594575849078,107.0,-0.9485562672098491,-1.2163087748999009,35.75893959463734,Up,Falling,0.7828232338443475,-1.2312178937054803,Underperforming,-0.19627724623798987,Sector Neutral,0.35714285714285715,-0.9690712594562025,0.2698412698412698,-0.42459614383165534,-1.2312178937054803
ADMA,Stock,health_care,-0.16519908090701185,-2.8877404527784125,-13.771830179465265,-11.904150700881626,19.52158656787795,11.873980732841021,-33.17013868704534,-23.154192325503466,Down,Down,Down,62.28550077166726,Acceptable,-1.4789636224170697,104.0,-0.0885252752128898,-0.12665053044601007,41.648321882087856,Up,Rising,1.1405357736787902,0.00231275023471788,In Line,-1.2526612566607174,Sector Underperform,0.6984126984126984,0.2312101461213987,0.2698412698412698,-0.42459614383165534,0.00231275023471788
ADBE,Stock,technology,-16.217796174091546,2.263453798355419,-29.8244272726498,-6.752956449747794,27.360562297042303,8.612179350650576,-43.11652871191416,-14.906914383367864,Up,Down,Down,27.60784885344232,Choppy,-2.5914765620639524,21.0,-1.3541450429095547,-1.5795824631789954,58.72381730944576,Up,Rising,0.941066055938276,-1.5558455620260354,Underperforming,-0.19627724623798987,Sector Neutral,0.35714285714285715,-0.9690712594562025,0.2698412698412698,-0.42459614383165534,-1.5558455620260354
AMD,Stock,technology,3.6561763349233054,-1.718515312104085,-9.950454763634948,-10.734925560207298,27.871712213448983,8.146406253277657,-54.7395846624801,-18.045764618655625,Down,Up,Up,56.830180021326726,Acceptable,-0.9803586083477603,49.0,0.1509142583813728,0.2210711630241602,44.892003037532554,Down,Falling,1.8611293414109076,-0.17730836322222326,In Line,-0.19627724623798987,Sector Neutral,0.35714285714285715,-0.9690712594562025,0.2698412698412698,-0.42459614383165534,-0.17730836322222326
A,Stock,health_care,-7.157393682098932,4.02477168052406,-20.764024780657184,-4.9916385675791535,17.86060386668718,4.515795604233366,-34.796235301300314,-9.768863197464118,Up,Up,Down,37.52810904728095,Choppy,-1.9424776907124457,60.0,-0.6297577642323197,-0.8683228782587697,55.94963817295582,Flat,Falling,1.0132478580140705,-0.5478228495806929,In Line,-1.2526612566607174,Sector Underperform,0.6984126984126984,0.2312101461213987,0.2698412698412698,-0.42459614383165534,-0.5478228495806929
